num_threads,nrepeat,N,M,Gbytes,time
1,100,4,2,1.12e-07,2.3e-05
1,100,4,8,3.52e-07,3.2e-05
1,100,4,128,5.152e-06,0.000224
1,100,4,512,2.0512e-05,0.000828
1,100,4,2048,8.1952e-05,0.003097
1,100,4,8192,0.000327712,0.012616
1,100,4,32768,0.00131075,0.049348
1,100,16,2,4e-07,3.6e-05
1,100,16,8,1.216e-06,7.7e-05
1,100,16,128,1.7536e-05,0.000841
1,100,16,512,6.976e-05,0.00321
1,100,16,2048,0.000278656,0.012556
1,100,16,8192,0.00111424,0.050005
1,100,16,32768,0.00445658,0.198862
1,100,256,2,6.16e-06,0.000316
1,100,256,8,1.8496e-05,0.000928
1,100,256,128,0.000265216,0.012845
1,100,256,512,0.00105472,0.049918
1,100,256,2048,0.00421274,0.197288
